track_uri,artist_uri,dan,ene,aco,val,artist_genres
spotify:track:6ScGvnnuv1Ag1oouYS8xLW,spotify:artist:4I2QW85rkIhCRRZt1kuBqS,0.432,0.683,0.0525,0.54,
spotify:track:4w2GLmK2wnioVnb5CPQeex,spotify:artist:25uiPmTg16RbhZWAqwLBy5,0.857,0.62,0.646,0.796,"art pop,candy pop,metropopolis,pop,uk pop"
spotify:track:4zop1FQ0ukwsBtXv4zrv5X,spotify:artist:1q4618qKswelCGLoanFKQh,0.858,0.904,0.00399,0.745,rap rock
spotify:track:1AWQoqb9bSvzTjaLralEkT,spotify:artist:31TPClRtHm23RisEBtV3X7,0.892,0.714,0.201,0.817,"dance pop,pop"
spotify:track:7K8XoQXZBffc4xG2xIQHMO,spotify:artist:1yxSLGMDHlW21z4YXirZDS,0.715,0.907,0.0172,0.841,"dance pop,pop,pop rap"
spotify:track:41HyMiZSBLGlfopnDE7Ppc,spotify:artist:4AGNJdJiVltImYk1UTLE0K,0.762,0.672,0.111,0.841,tulsa indie
spotify:track:1FJYX0a18UBzFOWzec43Ih,"spotify:artist:587PA35pRGL1JwQr6idJbb, spotify:artist:4D42J3IJpcTm3zxzmZ7TCV",0.83,0.532,0.119,0.892,"indie soul,modern indie pop"
spotify:track:1cON9arrpxPsC7URw7D4y8,spotify:artist:0NB5HROxc8dDBXpkIi1v3d,0.572,0.79,0.139,0.575,"indie pop,modern alternative pop"
spotify:track:3X7v1y9g6psZQjZZwtZkm4,spotify:artist:6eJa3zG1QZLRB3xgRuyxbm,0.694,0.583,0.17,0.897,"austindie,indie rock,pov: indie"
spotify:track:5BBK1WoaiD3b3sJ2UysLuM,spotify:artist:03uMw43UVu9MsQCcHVSGjX,0.576,0.719,0.0296,0.73,south african alternative
spotify:track:2bydO0jZES9rBvSnPvYN5L,spotify:artist:23KIrX6iPiVOkx60F4bjNq,0.814,0.53,0.415,0.745,indie r&b
spotify:track:5TzpCPx20n4hELdE9Vw6ZQ,spotify:artist:3CiuXDKttPUT0tWGHicFUH,0.71,0.83,0.0518,0.936,chill r&b
spotify:track:2XbfY2O2v3xwedUJ0J2kkr,spotify:artist:21E3waRsmPlU7jZsS13rcj,0.711,0.754,0.028,0.59,"dance pop,pop,r&b,urban contemporary"
spotify:track:4Rt4EPBXM47YNOjIy5xysR,spotify:artist:5zDEuV2X31GgJ4R0tPosmM,0.717,0.885,0.116,0.673,
spotify:track:0AM92A4kr44yHi74mwNcBg,spotify:artist:0lZoBs4Pzo7R89JM9lxwoT,0.645,0.867,0.119,0.337,"album rock,dance rock,new romantic,new wave,new wave pop,rock,soft rock,synthpop"
spotify:track:5o0mBJTVYwxnkSB2kE50Px,spotify:artist:6J6G9x39LYJjRBoZ8wJThP,0.342,0.826,0.0000326,0.54,
spotify:track:1O2xahhwi6K2ym5jsuxYXB,spotify:artist:7AxkXAveOItN2c4MJSPSdu,0.304,0.819,0.0119,0.354,
spotify:track:4JfpJrrGNXRj2yXm1fYV23,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,0.415,0.383,0.0948,0.172,"atl hip hop,hip hop,rap"
spotify:track:0T7aTl1t15HKHfwep4nANV,spotify:artist:0NB5HROxc8dDBXpkIi1v3d,0.686,0.682,0.0443,0.854,"indie pop,modern alternative pop"
spotify:track:0MnJ73xPk7rQDw0lIu8kBh,spotify:artist:1q4618qKswelCGLoanFKQh,0.685,0.946,0.0266,0.476,rap rock
spotify:track:5N3hjp1WNayUPZrA8kJmJP,spotify:artist:74KM79TiuVKeVCqs8QtB0B,0.669,0.586,0.274,0.579,pop
spotify:track:6pCesx8BBK7A6wevRbTVfk,spotify:artist:4ExEi8SBEd3QRgwbGw2nHC,0.774,0.687,0.243,0.829,alt z
spotify:track:3ngjq0C1z1kVYAdBH5114w,spotify:artist:6eJa3zG1QZLRB3xgRuyxbm,0.643,0.826,0.0136,0.961,"austindie,indie rock,pov: indie"
spotify:track:0elCmyfISzkP5tAYTVuYjS,spotify:artist:7FKTg75ADVMZgY3P9ZMRtH,0.45,0.602,0.0892,0.16,"jacksonville indie,pov: indie"
spotify:track:1ENjSTAGfgBUyVZuSl4zIY,spotify:artist:1j5n8v8YxdS8FrMjauRn8j,0.326,0.645,0.000159,0.0975,zoomergaze
spotify:track:73CKjW3vsUXRpy3NnX4H7F,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,0.463,0.229,0.167,0.135,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock"
spotify:track:5a8z2vyIDKMh5qcRG6w9wu,spotify:artist:7maQENQfaF8xDdEJp4i545,0.97,0.707,0.00807,0.408,
